,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
164,0000320193-19-000029,2019-02-07,2019-02-05,2019-02-07T18:30:52.000Z,,3,,,,13068,0,0,xslF345X02/wf-form3_154958223758270.xml,FORM 3
165,0000320193-19-000026,2019-02-06,2019-02-05,2019-02-06T08:00:34.000Z,34,8-K,001-36743,19569878,5.02,29021,0,0,a8-kfebruary2019252019.htm,8-K
166,0000320193-19-000024,2019-02-05,2019-02-01,2019-02-05T18:41:02.000Z,,4,,,,9755,0,0,xslF345X03/wf-form4_154941004809567.xml,FORM 4
167,0000320193-19-000023,2019-02-05,2019-02-01,2019-02-05T18:40:01.000Z,,4,,,,6949,0,0,xslF345X03/wf-form4_154940998460508.xml,FORM 4
168,0000320193-19-000022,2019-02-05,2019-02-01,2019-02-05T18:38:57.000Z,,4,,,,9484,0,0,xslF345X03/wf-form4_154940992221908.xml,FORM 4
169,0000320193-19-000021,2019-02-05,2019-02-01,2019-02-05T18:37:45.000Z,,4,,,,6937,0,0,xslF345X03/wf-form4_154940984777970.xml,FORM 4
170,0000320193-19-000020,2019-02-05,2019-02-01,2019-02-05T18:36:38.000Z,,4,,,,7645,0,0,xslF345X03/wf-form4_154940978487594.xml,FORM 4
171,0000320193-19-000019,2019-02-05,2019-02-01,2019-02-05T18:35:33.000Z,,4,,,,6945,0,0,xslF345X03/wf-form4_154940971963917.xml,FORM 4
172,0000320193-19-000018,2019-02-05,2019-02-01,2019-02-05T18:34:27.000Z,,4,,,,6950,0,0,xslF345X03/wf-form4_154940965388838.xml,FORM 4
173,0001214659-19-000797,2019-02-05,,2019-02-05T09:30:16.000Z,34,PX14A6G,001-36743,19566496,,10325,0,0,j24190px14a6g.htm,
174,0000215457-19-003343,2019-02-04,,2019-02-04T10:09:33.000Z,34,SC 13G/A,005-33632,19562213,,13640,0,0,us0378331005_020419.txt,
175,0000320193-19-000010,2019-01-30,2018-12-29,2019-01-30T16:31:37.000Z,34,10-Q,001-36743,19552275,,8176346,1,0,a10-qq1201912292018.htm,10-Q
176,0000320193-19-000007,2019-01-29,2019-01-29,2019-01-29T16:30:18.000Z,34,8-K,001-36743,19549017,"2.02,9.01",228420,0,0,a8-kq1201912292018.htm,8-K
177,0000320193-19-000004,2019-01-28,2019-01-24,2019-01-28T18:31:04.000Z,,4,,,,6474,0,0,xslF345X03/wf-form4_154871824787707.xml,FORM 4
178,0001193125-19-004678,2019-01-08,,2019-01-08T16:42:05.000Z,34,DEFA14A,001-36743,19516394,,470916,0,0,d668059ddefa14a.htm,DEFINITIVE ADDITIONAL MATERIALS
179,0001193125-19-004664,2019-01-08,2019-03-01,2019-01-08T16:37:40.000Z,34,DEF 14A,001-36743,19516351,,5440318,0,0,d667873ddef14a.htm,DEFINITIVE PROXY STATEMENT
180,0000320193-19-000002,2019-01-02,2019-01-02,2019-01-02T16:30:03.000Z,34,8-K,001-36743,19502044,"2.02,9.01",66912,0,0,a8-kjanuary2019122019.htm,8-K
181,0000320193-18-000149,2018-11-21,2018-11-19,2018-11-21T18:31:38.000Z,,4,,,,4714,0,0,xslF345X03/wf-form4_154284308216532.xml,FORM 4
182,0000320193-18-000147,2018-11-15,2018-11-13,2018-11-15T18:31:11.000Z,,4,,,,9031,0,0,xslF345X03/wf-form4_154232465480280.xml,FORM 4
183,0001193125-18-317844,2018-11-05,,2018-11-05T08:18:12.000Z,33,S-3ASR,333-228159,181158810,,768058,0,0,d644900ds3asr.htm,S-3ASR
184,0000320193-18-000145,2018-11-05,2018-09-29,2018-11-05T08:01:40.000Z,34,10-K,001-36743,181158788,,12275572,1,0,a10-k20189292018.htm,10-K
185,0000320193-18-000142,2018-11-01,2018-11-01,2018-11-01T16:30:21.000Z,34,8-K,001-36743,181154184,"2.02,9.01",406936,0,0,a8-kq420189292018.htm,8-K
186,0000320193-18-000139,2018-10-17,2018-10-15,2018-10-17T18:30:30.000Z,,4,,,,15600,0,0,xslF345X03/wf-form4_153981541459967.xml,FORM 4
187,0000320193-18-000137,2018-10-05,2018-10-03,2018-10-05T18:33:19.000Z,,4,,,,6946,0,0,xslF345X03/wf-form4_153877878310747.xml,FORM 4
188,0000320193-18-000136,2018-10-05,2018-10-04,2018-10-05T18:32:17.000Z,,4,,,,12537,0,0,xslF345X03/wf-form4_153877872133212.xml,FORM 4
189,0000320193-18-000135,2018-10-05,2018-10-03,2018-10-05T18:31:16.000Z,,4,,,,7901,0,0,xslF345X03/wf-form4_153877866095942.xml,FORM 4
190,0000320193-18-000131,2018-10-03,2018-10-01,2018-10-03T18:34:07.000Z,,4,,,,10516,0,0,xslF345X03/wf-form4_153860603163051.xml,FORM 4
191,0000320193-18-000130,2018-10-03,2018-10-01,2018-10-03T18:33:07.000Z,,4,,,,10550,0,0,xslF345X03/wf-form4_153860597104703.xml,FORM 4
192,0000320193-18-000129,2018-10-03,2018-10-01,2018-10-03T18:31:57.000Z,,4,,,,10561,0,0,xslF345X03/wf-form4_153860589217680.xml,FORM 4
193,0000320193-18-000125,2018-10-02,2018-09-30,2018-10-02T18:36:35.000Z,,4,,,,7897,0,0,xslF345X03/wf-form4_153851977931242.xml,FORM 4
194,0000320193-18-000124,2018-10-02,2018-09-30,2018-10-02T18:35:45.000Z,,4,,,,8005,0,0,xslF345X03/wf-form4_153851972725526.xml,FORM 4
195,0000320193-18-000123,2018-10-02,2018-09-30,2018-10-02T18:34:41.000Z,,4,,,,5583,0,0,xslF345X03/wf-form4_153851966439459.xml,FORM 4
196,0000320193-18-000122,2018-10-02,2018-09-30,2018-10-02T18:33:45.000Z,,4,,,,8016,0,0,xslF345X03/wf-form4_153851960893694.xml,FORM 4
197,0000320193-18-000121,2018-10-02,2018-09-30,2018-10-02T18:32:49.000Z,,4,,,,8042,0,0,xslF345X03/wf-form4_153851955377044.xml,FORM 4
198,0000320193-18-000115,2018-08-28,2018-08-24,2018-08-28T18:31:28.000Z,,4,,,,16927,0,0,xslF345X03/wf-form4_153549547286956.xml,FORM 4
199,0001193125-18-256354,2018-08-23,,2018-08-23T16:41:25.000Z,33,S-8,333-226986,181035159,,169734,0,0,d609898ds8.htm,S-8
200,0000320193-18-000113,2018-08-21,2018-08-21,2018-08-21T19:01:37.000Z,,4,,,,5228,0,0,xslF345X03/wf-form4_153489248141557.xml,FORM 4
201,0000320193-18-000112,2018-08-21,2018-08-17,2018-08-21T18:59:34.000Z,,4,,,,9920,0,0,xslF345X03/wf-form4_153489235873857.xml,FORM 4
202,0000320193-18-000109,2018-08-17,2018-08-15,2018-08-17T18:30:45.000Z,,4,,,,8969,0,0,xslF345X03/wf-form4_153454502801733.xml,FORM 4
203,0000320193-18-000107,2018-08-10,2018-08-09,2018-08-10T18:33:27.000Z,,4,,,,5519,0,0,xslF345X03/wf-form4_153394039211365.xml,FORM 4
204,0000320193-18-000106,2018-08-10,2018-08-08,2018-08-10T18:31:41.000Z,,4,,,,10205,0,0,xslF345X03/wf-form4_153394028523209.xml,FORM 4
205,0000320193-18-000103,2018-08-06,2018-08-02,2018-08-06T18:30:34.000Z,,4,,,,14229,0,0,xslF345X03/wf-form4_153359461891019.xml,FORM 4
206,0000320193-18-000100,2018-08-01,2018-06-30,2018-08-01T16:31:48.000Z,34,10-Q,001-36743,18985212,,9373238,1,0,a10-qq320186302018.htm,10-Q
207,0000320193-18-000098,2018-07-31,2018-07-31,2018-07-31T16:30:20.000Z,34,8-K,001-36743,18981493,"2.02,9.01",401168,0,0,a8-kq320186302018.htm,8-K
208,0000320193-18-000095,2018-07-11,2018-07-09,2018-07-11T18:31:20.000Z,,4,,,,6944,0,0,xslF345X03/wf-form4_153134826427557.xml,FORM 4
209,0000320193-18-000092,2018-06-18,2018-06-14,2018-06-18T18:30:31.000Z,,4,,,,10106,0,0,xslF345X03/wf-form4_152936101490685.xml,FORM 4
210,0000320193-18-000090,2018-06-12,2018-06-08,2018-06-12T18:30:36.000Z,,4,,,,8345,0,0,xslF345X03/wf-form4_152884262050898.xml,FORM 4
211,0000320193-18-000088,2018-06-04,2018-05-31,2018-06-04T18:31:19.000Z,,4,,,,8344,0,0,xslF345X03/wf-form4_152815141411532.xml,FORM 4
212,0000320193-18-000086,2018-05-31,2018-05-29,2018-05-31T18:31:59.000Z,,4,,,,8500,0,0,xslF345X03/wf-form4_152780585957689.xml,FORM 4
213,0000320193-18-000084,2018-05-25,2018-05-23,2018-05-25T18:31:15.000Z,,4,,,,7656,0,0,xslF345X03/wf-form4_152728745985789.xml,FORM 4
214,0000320193-18-000082,2018-05-21,2018-05-17,2018-05-21T18:30:50.000Z,,4,,,,8841,0,0,xslF345X03/wf-form4_152694183324049.xml,FORM 4
215,0000320193-18-000080,2018-05-18,2018-05-16,2018-05-18T18:30:58.000Z,,4,,,,4519,0,0,xslF345X03/wf-form4_152668264478876.xml,FORM 4
216,0000320193-18-000078,2018-05-15,2018-05-13,2018-05-15T18:30:43.000Z,,4,,,,8720,0,0,xslF345X03/wf-form4_152642343017017.xml,FORM 4
217,0000320193-18-000076,2018-05-11,2018-05-09,2018-05-11T18:32:43.000Z,,4,,,,9017,0,0,xslF345X03/wf-form4_152607794990188.xml,FORM 4
218,0000320193-18-000074,2018-05-10,2018-05-08,2018-05-10T18:31:35.000Z,,4,,,,8799,0,0,xslF345X03/wf-form4_152599148061399.xml,FORM 4
219,0001193125-18-154948,2018-05-08,2018-04-30,2018-05-07T21:31:32.000Z,34,8-K/A,001-36743,18812776,8.01,15610,0,0,d563832d8ka.htm,AMENDMENT NO. 1 TO FORM 8-K
220,0000320193-18-000072,2018-05-07,2018-05-03,2018-05-07T18:31:25.000Z,,4,,,,7509,0,0,xslF345X03/wf-form4_152573222606599.xml,FORM 4
221,0001193125-18-154515,2018-05-07,2018-04-30,2018-05-07T16:30:56.000Z,34,8-K,001-36743,18811649,"8.01,9.01",113486,0,0,d563832d8k.htm,FORM 8-K
222,0000320193-18-000070,2018-05-02,2018-03-31,2018-05-02T16:32:12.000Z,34,10-Q,001-36743,18800115,,9743668,1,0,a10-qq220183312018.htm,10-Q
223,0000320193-18-000067,2018-05-01,2018-05-01,2018-05-01T16:30:17.000Z,34,8-K,001-36743,18795935,"2.02,9.01",401862,0,0,a8-kq220183312018.htm,8-K
224,0000320193-18-000064,2018-04-17,2018-04-15,2018-04-17T18:31:41.000Z,,4,,,,18201,0,0,xslF345X03/wf-form4_152400428847158.xml,FORM 4
225,0000320193-18-000063,2018-04-17,2018-04-15,2018-04-17T18:30:45.000Z,,4,,,,15670,0,0,xslF345X03/wf-form4_152400423176100.xml,FORM 4
226,0000320193-18-000060,2018-04-16,2018-04-12,2018-04-16T18:31:20.000Z,,4,,,,6944,0,0,xslF345X03/wf-form4_152391784210514.xml,FORM 4
227,0000320193-18-000058,2018-04-06,2018-04-04,2018-04-06T18:30:59.000Z,,4,,,,14381,0,0,xslF345X03/wf-form4_152305384529017.xml,FORM 4
228,0000320193-18-000057,2018-04-05,2018-04-03,2018-04-05T18:31:26.000Z,,4,,,,9565,0,0,xslF345X03/wf-form4_152296745064089.xml,FORM 4
229,0000320193-18-000054,2018-04-03,2018-04-01,2018-04-03T18:36:05.000Z,,4,,,,13407,0,0,xslF345X03/wf-form4_152279495069184.xml,FORM 4
230,0000320193-18-000053,2018-04-03,2018-04-01,2018-04-03T18:35:24.000Z,,4,,,,16662,0,0,xslF345X03/wf-form4_152279488511967.xml,FORM 4
231,0000320193-18-000052,2018-04-03,2018-04-01,2018-04-03T18:34:09.000Z,,4,,,,13258,0,0,xslF345X03/wf-form4_152279483540589.xml,FORM 4
232,0000320193-18-000051,2018-04-03,2018-04-01,2018-04-03T18:33:25.000Z,,4,,,,11366,0,0,xslF345X03/wf-form4_152279479066592.xml,FORM 4
233,0000320193-18-000050,2018-04-03,2018-04-01,2018-04-03T18:32:35.000Z,,4,,,,11013,0,0,xslF345X03/wf-form4_152279471770222.xml,FORM 4
234,0000320193-18-000049,2018-04-03,2018-04-01,2018-04-03T18:31:31.000Z,,4,,,,16857,0,0,xslF345X03/wf-form4_152279465769401.xml,FORM 4
235,0000320193-18-000048,2018-04-03,2018-04-01,2018-04-03T18:30:22.000Z,,4,,,,11020,0,0,xslF345X03/wf-form4_152279460818145.xml,FORM 4
236,0001193125-18-073716,2018-03-07,,2018-03-07T17:26:18.000Z,34,SD,001-36743,18674202,,876890,0,0,d538673dsd.htm,FORM SD
237,0000320193-18-000040,2018-02-20,2018-02-15,2018-02-20T18:30:24.000Z,,4,,,,9042,0,0,xslF345X03/wf-form4_151916941098122.xml,FORM 4
238,0000320193-18-000037,2018-02-15,2018-02-13,2018-02-15T18:36:24.000Z,,4,,,,5634,0,0,xslF345X03/wf-form4_151873776941650.xml,FORM 4
239,0000320193-18-000036,2018-02-15,2018-02-13,2018-02-15T18:35:34.000Z,,4,,,,5637,0,0,xslF345X03/wf-form4_151873771953304.xml,FORM 4
240,0000320193-18-000035,2018-02-15,2018-02-13,2018-02-15T18:34:43.000Z,,4,,,,5660,0,0,xslF345X03/wf-form4_151873766872367.xml,FORM 4
241,0000320193-18-000034,2018-02-15,2018-02-13,2018-02-15T18:33:45.000Z,,4,,,,5646,0,0,xslF345X03/wf-form4_151873761103884.xml,FORM 4
242,0000320193-18-000033,2018-02-15,2018-02-13,2018-02-15T18:32:44.000Z,,4,,,,5646,0,0,xslF345X03/wf-form4_151873755044531.xml,FORM 4
243,0000320193-18-000032,2018-02-15,2018-02-13,2018-02-15T18:31:37.000Z,,4,,,,5633,0,0,xslF345X03/wf-form4_151873748320537.xml,FORM 4
244,0000320193-18-000031,2018-02-15,2018-02-13,2018-02-15T18:30:36.000Z,,4,,,,5643,0,0,xslF345X03/wf-form4_151873742057861.xml,FORM 4
245,0001193125-18-045761,2018-02-14,2018-02-13,2018-02-14T16:54:21.000Z,34,8-K,001-36743,18613111,"5.07,9.01",115640,0,0,d374908d8k.htm,FORM 8-K
246,0000932471-18-004625,2018-02-12,,2018-02-12T09:44:18.000Z,34,SC 13G/A,005-33632,18594295,,45210,0,0,appleinc.htm,
247,0000320193-18-000023,2018-02-08,2018-02-06,2018-02-08T18:30:44.000Z,,4,,,,6469,0,0,xslF345X03/wf-form4_151813262859954.xml,FORM 4
248,0000320193-18-000021,2018-02-05,2018-02-01,2018-02-05T18:36:48.000Z,,4,,,,9712,0,0,xslF345X03/wf-form4_151787379347066.xml,FORM 4
249,0000320193-18-000020,2018-02-05,2018-02-01,2018-02-05T18:36:04.000Z,,4,,,,6906,0,0,xslF345X03/wf-form4_151787375000361.xml,FORM 4
250,0000320193-18-000019,2018-02-05,2018-02-01,2018-02-05T18:35:03.000Z,,4,,,,9084,0,0,xslF345X03/wf-form4_151787368848629.xml,FORM 4
251,0000320193-18-000018,2018-02-05,2018-02-01,2018-02-05T18:34:07.000Z,,4,,,,6915,0,0,xslF345X03/wf-form4_151787363289356.xml,FORM 4
252,0000320193-18-000017,2018-02-05,2018-02-01,2018-02-05T18:32:49.000Z,,4,,,,7602,0,0,xslF345X03/wf-form4_151787355536092.xml,FORM 4
253,0000320193-18-000016,2018-02-05,2018-02-01,2018-02-05T18:32:08.000Z,,4,,,,6901,0,0,xslF345X03/wf-form4_151787350514336.xml,FORM 4
254,0000320193-18-000015,2018-02-05,2018-02-01,2018-02-05T18:30:53.000Z,,4,,,,6911,0,0,xslF345X03/wf-form4_151787343921146.xml,FORM 4
255,0000320193-18-000007,2018-02-02,2017-12-30,2018-02-02T08:01:26.000Z,34,10-Q,001-36743,18568703,,8606471,1,0,a10-qq1201812302017.htm,10-Q
256,0000320193-18-000005,2018-02-01,2018-02-01,2018-02-01T16:30:17.000Z,34,8-K,001-36743,18567220,"2.02,9.01",363574,0,0,a8-kq1201812302017.htm,8-K
257,0000215457-18-003762,2018-01-29,,2018-01-29T16:35:38.000Z,34,SC 13G/A,005-33632,18555984,,13633,0,0,us0378331005_012918.txt,
258,0000320193-18-000002,2018-01-09,2018-01-05,2018-01-09T18:30:38.000Z,,4,,,,6943,0,0,xslF345X03/wf-form4_151554062441822.xml,FORM 4
259,0001193125-17-380132,2017-12-27,,2017-12-27T16:32:56.000Z,34,DEFA14A,001-36743,171276414,,408416,0,0,d396272ddefa14a.htm,DEFINITIVE ADDITIONAL MATERIALS
260,0001193125-17-380130,2017-12-27,2018-02-13,2017-12-27T16:31:05.000Z,34,DEF 14A,001-36743,171276400,,5449826,0,0,d400278ddef14a.htm,DEFINITIVE PROXY STATEMENT
261,0000320193-17-000087,2017-12-11,2017-12-07,2017-12-11T18:31:01.000Z,,4,,,,6947,0,0,xslF345X03/wf-form4_151303504615549.xml,FORM 4
262,0000320193-17-000085,2017-12-04,2017-11-30,2017-12-04T18:32:54.000Z,,4,,,,6941,0,0,xslF345X03/wf-form4_151243036024161.xml,FORM 4
263,0000320193-17-000083,2017-11-27,2017-11-22,2017-11-27T18:30:46.000Z,,4,,,,8554,0,0,xslF345X03/wf-form4_151182543114594.xml,FORM 4
264,0000320193-17-000081,2017-11-16,2017-11-14,2017-11-16T18:31:35.000Z,,4,,,,6946,0,0,xslF345X03/wf-form4_151087508159949.xml,FORM 4
265,0000320193-17-000079,2017-11-15,2017-11-13,2017-11-15T18:33:37.000Z,,4,,,,3447,0,0,xslF345X03/wf-form4_151078880413808.xml,FORM 4
266,0000320193-17-000078,2017-11-15,2017-11-13,2017-11-15T18:32:36.000Z,,4,,,,7979,0,0,xslF345X03/wf-form4_151078874247280.xml,FORM 4
267,0000320193-17-000077,2017-11-15,2017-11-13,2017-11-15T18:31:19.000Z,,3,,,,7095,0,0,xslF345X02/wf-form3_151078866524134.xml,FORM 3
268,0001193125-17-341015,2017-11-13,2017-11-06,2017-11-13T16:44:57.000Z,34,8-K,001-36743,171196609,"8.01,9.01",521659,0,0,d478060d8k.htm,FORM 8-K
269,0001193125-17-335805,2017-11-07,,2017-11-07T16:37:57.000Z,33,424B2,333-210983,171183888,,430424,0,0,d475365d424b2.htm,FILED PURSUANT TO RULE 424(B)(2)
270,0001193125-17-334724,2017-11-07,,2017-11-06T20:56:32.000Z,34,FWP,333-210983,171180891,,57514,0,0,d480547dfwp.htm,FREE WRITING PROSPECTUS
271,0001193125-17-333582,2017-11-06,,2017-11-06T07:42:25.000Z,33,424B2,333-210983,171178253,,411155,0,0,d475365d424b2.htm,FILED PURSUANT TO RULE 424(B)(2)
272,0000320193-17-000070,2017-11-03,2017-09-30,2017-11-03T08:01:37.000Z,34,10-K,001-36743,171174673,,14071062,1,0,a10-k20179302017.htm,10-K
273,0000320193-17-000067,2017-11-02,2017-11-02,2017-11-02T16:30:16.000Z,34,8-K,001-36743,171172828,"2.02,9.01",408009,0,0,a8-kq420179302017.htm,8-K
274,0000320193-17-000063,2017-10-17,2017-10-15,2017-10-17T18:47:42.000Z,,4,,,,7931,0,0,xslF345X03/wf-form4_150828044948163.xml,FORM 4
275,0000320193-17-000062,2017-10-17,2017-10-15,2017-10-17T18:46:41.000Z,,4,,,,20997,0,0,xslF345X03/wf-form4_150828038824181.xml,FORM 4
276,0000320193-17-000061,2017-10-17,2017-10-15,2017-10-17T18:44:48.000Z,,4,,,,7973,0,0,xslF345X03/wf-form4_150828027600542.xml,FORM 4
277,0000320193-17-000060,2017-10-17,2017-10-15,2017-10-17T18:43:57.000Z,,4,,,,7940,0,0,xslF345X03/wf-form4_150828022415662.xml,FORM 4
278,0000320193-17-000059,2017-10-17,2017-10-15,2017-10-17T18:43:06.000Z,,4,,,,13420,0,0,xslF345X03/wf-form4_150828017246106.xml,FORM 4
279,0000320193-17-000058,2017-10-17,2017-10-15,2017-10-17T18:41:54.000Z,,4,,,,18323,0,0,xslF345X03/wf-form4_150828010037766.xml,FORM 4
280,0000320193-17-000057,2017-10-17,2017-10-15,2017-10-17T18:40:49.000Z,,4,,,,7937,0,0,xslF345X03/wf-form4_150828003638615.xml,FORM 4
281,0000320193-17-000056,2017-10-17,2017-10-15,2017-10-17T18:39:59.000Z,,4,,,,7933,0,0,xslF345X03/wf-form4_150827998628260.xml,FORM 4
282,0000320193-17-000055,2017-10-17,2017-10-15,2017-10-17T18:39:13.000Z,,4,,,,7944,0,0,xslF345X03/wf-form4_150827993959614.xml,FORM 4
283,0001193125-17-308859,2017-10-12,2017-10-06,2017-10-12T16:31:33.000Z,34,8-K,001-36743,171134765,5.02,15342,0,0,d386231d8k.htm,FORM 8-K
284,0000320193-17-000045,2017-10-10,2017-10-05,2017-10-10T18:31:25.000Z,,4,,,,5089,0,0,xslF345X03/wf-form4_150767467144201.xml,FORM 4
285,0000320193-17-000043,2017-10-05,2017-10-03,2017-10-05T18:34:12.000Z,,4,,,,5527,0,0,xslF345X03/wf-form4_150724283880617.xml,FORM 4
286,0000320193-17-000042,2017-10-05,2017-10-03,2017-10-05T18:33:19.000Z,,4,,,,10666,0,0,xslF345X03/wf-form4_150724278525543.xml,FORM 4
287,0000320193-17-000039,2017-10-03,2017-10-01,2017-10-03T18:37:59.000Z,,4,,,,10392,0,0,xslF345X03/wf-form4_150707026587310.xml,FORM 4
288,0000320193-17-000038,2017-10-03,2017-10-01,2017-10-03T18:37:16.000Z,,4,,,,10406,0,0,xslF345X03/wf-form4_150707022096581.xml,FORM 4
289,0000320193-17-000037,2017-10-03,2017-10-01,2017-10-03T18:36:24.000Z,,4,,,,13752,0,0,xslF345X03/wf-form4_150707017081508.xml,FORM 4
290,0000320193-17-000036,2017-10-03,2017-10-01,2017-10-03T18:35:33.000Z,,4,,,,10400,0,0,xslF345X03/wf-form4_150707011795652.xml,FORM 4
291,0000320193-17-000035,2017-10-03,2017-10-01,2017-10-03T18:34:39.000Z,,4,,,,10393,0,0,xslF345X03/wf-form4_150707006333873.xml,FORM 4
292,0000320193-17-000034,2017-10-03,2017-10-01,2017-10-03T18:33:36.000Z,,4,,,,10440,0,0,xslF345X03/wf-form4_150707000038940.xml,FORM 4
293,0000320193-17-000033,2017-10-03,2017-10-01,2017-10-03T18:32:36.000Z,,4,,,,13430,0,0,xslF345X03/wf-form4_150706994103772.xml,FORM 4
294,0000320193-17-000032,2017-10-03,2017-10-01,2017-10-03T18:31:49.000Z,,4,,,,10405,0,0,xslF345X03/wf-form4_150706989617764.xml,FORM 4
295,0001193125-17-282809,2017-09-12,2017-09-05,2017-09-12T16:45:59.000Z,34,8-K,001-36743,171081538,"8.01,9.01",394801,0,0,d434478d8k.htm,FORM 8-K
296,0001193125-17-277897,2017-09-06,,2017-09-06T16:54:52.000Z,33,424B2,333-210983,171071961,,416831,0,0,d453793d424b2.htm,FILED PURSUANT TO RULE 424(B)(2)
297,0001193125-17-276961,2017-09-06,,2017-09-05T19:50:35.000Z,34,FWP,333-210983,171070000,,43545,0,0,d451794dfwp.htm,FREE WRITING PROSPECTUS
298,0001193125-17-276117,2017-09-05,,2017-09-05T07:46:32.000Z,33,424B2,333-210983,171067415,,426676,0,0,d453793d424b2.htm,FILED PURSUANT TO RULE 424(B)(2)
299,0000320193-17-000023,2017-08-30,2017-08-28,2017-08-30T18:30:35.000Z,,4,,,,7187,0,0,xslF345X03/wf-form4_150413222111835.xml,FORM 4
300,0000320193-17-000021,2017-08-28,2017-08-24,2017-08-28T20:00:34.000Z,,4,,,,18859,0,0,xslF345X03/wf-form4_150396481887759.xml,FORM 4
301,0000320193-17-000018,2017-08-18,2017-08-16,2017-08-18T18:30:35.000Z,,4,,,,7191,0,0,xslF345X03/wf-form4_150309542055431.xml,FORM 4
302,0001193125-17-262261,2017-08-18,2017-08-15,2017-08-18T16:30:58.000Z,34,8-K,001-36743,171041380,"8.01,9.01",317550,0,0,d593893d8k.htm,FORM 8-K
303,0000320193-17-000017,2017-08-17,2017-08-15,2017-08-17T18:30:57.000Z,,4,,,,10864,0,0,xslF345X03/wf-form4_150300904326605.xml,FORM 4
304,0001193125-17-258933,2017-08-16,,2017-08-15T21:38:00.000Z,33,424B2,333-210983,171035154,,419898,0,0,d433785d424b2.htm,FILED PURSUANT TO RULE 424(B)(2)
305,0001193125-17-258729,2017-08-15,,2017-08-15T17:28:03.000Z,34,FWP,333-210983,171034713,,28250,0,0,d612765dfwp.htm,FREE WRITING PROSPECTUS
306,0001193125-17-258040,2017-08-15,,2017-08-15T08:59:35.000Z,33,424B2,333-210983,171032511,,413874,0,0,d433785d424b2.htm,FILED PURSUANT TO RULE 424(B)2
307,0000320193-17-000015,2017-08-09,2017-08-07,2017-08-09T18:32:24.000Z,,4,,,,6722,0,0,xslF345X03/wf-form4_150231792959896.xml,FORM 4
308,0000320193-17-000014,2017-08-09,2017-08-07,2017-08-09T18:31:33.000Z,,4,,,,9007,0,0,xslF345X03/wf-form4_150231787803625.xml,FORM 4
309,0000320193-17-000013,2017-08-09,2017-08-07,2017-08-09T18:30:47.000Z,,4,,,,4894,0,0,xslF345X03/wf-form4_150231783126553.xml,FORM 4
310,0000320193-17-000009,2017-08-02,2017-07-01,2017-08-02T16:31:28.000Z,34,10-Q,001-36743,171000359,,10155269,1,0,a10-qq32017712017.htm,10-Q
311,0000320193-17-000006,2017-08-01,2017-08-01,2017-08-01T16:30:15.000Z,34,8-K,001-36743,17997093,"2.02,9.01",406208,1,1,a8-kq32017712017.htm,8-K
312,0000320193-17-000003,2017-07-10,2017-07-06,2017-07-10T18:30:23.000Z,,4,,,,5084,0,0,xslF345X03/wf-form4_149972580917613.xml,FORM 4
313,0001193125-17-208226,2017-06-20,2017-06-13,2017-06-20T16:36:33.000Z,34,8-K,001-36743,17921171,"8.01,9.01",217479,0,0,d413980d8k.htm,FORM 8-K
314,0001628280-17-006558,2017-06-16,2017-06-14,2017-06-16T18:30:25.000Z,,4,,,,8692,0,0,xslF345X03/wf-form4_149765220991664.xml,FORM 4
315,0001193125-17-203548,2017-06-14,,2017-06-14T16:41:00.000Z,33,424B2,333-210983,17911569,,426727,0,0,d412075d424b2.htm,FILED PURSUANT TO RULE 424(B)2
316,0001193125-17-202772,2017-06-14,,2017-06-13T21:47:04.000Z,34,FWP,333-210983,17910189,,16348,0,0,d413957dfwp.htm,FREE WRITING PROSPECTUS
317,0001193125-17-201958,2017-06-13,,2017-06-13T07:41:04.000Z,33,424B2,333-210983,17907933,,422233,0,0,d412075d424b2.htm,FILED PURSUANT TO RULE 424(B)2
318,0001628280-17-006357,2017-06-09,2017-06-07,2017-06-09T18:30:45.000Z,,4,,,,6946,0,0,xslF345X03/wf-form4_149704742969407.xml,FORM 4
319,0001628280-17-006261,2017-06-06,2017-06-02,2017-06-06T18:30:34.000Z,,4,,,,6933,0,0,xslF345X03/wf-form4_149678821830800.xml,FORM 4
320,0001628280-17-006119,2017-05-31,2017-05-29,2017-05-31T18:30:30.000Z,,4,,,,8625,0,0,xslF345X03/wf-form4_149626981246801.xml,FORM 4
321,0001628280-17-006040,2017-05-30,2017-05-25,2017-05-30T18:30:50.000Z,,4,,,,9016,0,0,xslF345X03/wf-form4_149618343527214.xml,FORM 4
322,0001628280-17-005932,2017-05-25,2017-05-23,2017-05-25T18:31:54.000Z,,4,,,,6258,0,0,xslF345X03/wf-form4_149575149925731.xml,FORM 4
323,9999999997-17-006550,2017-05-25,,2017-05-25T17:32:45.000Z,34,CERTNYS,001-36743,17010416,,1347,0,0,9999999997-17-006550.paper,AUTO-GENERATED PAPER DOCUMENT
324,0001628280-17-005877,2017-05-24,2017-05-22,2017-05-24T18:31:58.000Z,,4,,,,7190,0,0,xslF345X03/wf-form4_149566510341688.xml,FORM 4
325,0001628280-17-005876,2017-05-24,2017-05-22,2017-05-24T18:30:46.000Z,,4,,,,5004,0,0,xslF345X03/wf-form4_149566503082937.xml,FORM 4
